Issuing Organization,Micro-credential Stack Name,Micro-credential Name,Competency Statement (Description),Badge Image Link (Badgr),Direct Link to MC on the platform,MC ID #,Audience,Education Standard,Topics
Advocates for Youth,Sexuality Education,Creating Inclusive Classrooms for Students of All Sexual Orientations, Educator effectively uses inclusive language and responds productively to homophobic or other bullying comments or actions in the classroom relating specifically to sexual orientation.  ,https://media.badgr.io/uploads/badges/dc7e13b4-04f5-487c-b57c-3f09fd8557df.png,https://microcredentials.digitalpromise.org/explore/creating-inclusive-classrooms-for-students-of-all-,X2N0K5,Classroom Educator,,"Health,Social Emotional Learning"
Advocates for Youth,Sexuality Education,Answering Secondary Student Questions about Sexuality," Educator effectively answers secondary students' sexual health questions resulting in learners receiving tailored, age and developmentally appropriate information to increase their understanding of sexual health and affirm their right to learn about this critical topic.  ",https://media.badgr.io/uploads/badges/e6914948-4296-4f56-a334-96c8eb587278.png,https://microcredentials.digitalpromise.org/explore/answering-secondary-student-questions-about-sexual,LHY0TQ,Classroom Educator,,"Health,Social Emotional Learning"
Agentic Learning,Student Agency,Student Agency: Motivation, Educator fosters student intrinsic motivation.  ,https://media.badgr.io/uploads/badges/b16b1432-7a2c-4413-b0c3-04324bd21cc4.png,https://microcredentials.digitalpromise.org/explore/student-agency-motivation,3795F8,Classroom Educator,"ISTE Subject Matter,Digital Promise Research Map Topic List","Student Empowerment,Student Motivation,Student Agency"
Agentic Learning,Student Agency,Student Agency: Metacognition, Educator fosters student metacognitive skills.  ,https://media.badgr.io/uploads/badges/4e2f6863-d81d-46a7-98b0-0e704a7c15e1.png,https://microcredentials.digitalpromise.org/explore/student-agency-metacognition,R2HSGE,Classroom Educator,Digital Promise Research Map Topic List,"Student Empowerment,Student Voices,Cognition & Memory"
Arizona State University,Learning to Teach,Giving Clear Directions for a Task,iving clear directions for a task in order to ensure student understanding.,https://media.badgr.io/uploads/badges/53f6228e-cd79-4bce-8797-b622af7ae89b.png,https://microcredentials.digitalpromise.org/explore/giving-clear-directions-for-a-task,ZG3RDB,Classroom Educator,,Performance Assessment
Carey Institute for Global Good,Refugee Educators,Scaffolding Learning to Support Refugee Students, Educator utilizes appropriate scaffolding strategies to make learning accessible and meaningful for students of refugee backgrounds. ,https://media.badgr.io/uploads/badges/35b0c9d4-7dee-425b-8157-43e26d74e49c.png,https://microcredentials.digitalpromise.org/explore/scaffolding-learning-to-support-refugee-students,MHCD2Z,Classroom Educator,Learning Forward Subject Matter,"Pedagogy,Curriculum Planning,Learning Designs & Facilitation"
Carey Institute for Global Good,Refugee Educators,Social and Emotional Learning & Trauma-Informed Approaches in Refugee Education, Educators of refugees use social and emotional learning and trauma-informed approaches in their classrooms to support student well-being and learning. ,https://media.badgr.io/uploads/badges/4c99ed63-4e72-4695-bec5-a3ebd8a266d6.png,https://microcredentials.digitalpromise.org/explore/social-and-emotional-learning-trauma-informed-appr,DH9FLE,Classroom Educator,,"Social Emotional Learning,Curriculum Planning"
Carey Institute for Global Good,Refugee Educators,Differentiating Instruction to Support Refugee Students, Educator utilizes appropriate differentiation strategies to make learning accessible and meaningful for students of refugee backgrounds. ,https://media.badgr.io/uploads/badges/1f204062-14ce-438a-8a37-f06361ebea72.png,https://microcredentials.digitalpromise.org/explore/differentiating-instruction-to-support-refugee-stu,H1KJF0,Classroom Educator,,"Curriculum Planning,Differentiated Instruction"
Carey Institute for Global Good,Refugee Educators,Sustainable Learning Design for Refugee Educators, Designer uses sustainable learning elements to create a blended or online course for refugee teachers. ,https://media.badgr.io/uploads/badges/8057ca0b-7b32-48c0-ba94-67d25139927a.png,https://microcredentials.digitalpromise.org/explore/sustainable-learning-design-for-refugee-educators,Q6BKH5,Coach & Curriculum Designer & Teacher Lead,Learning Forward Subject Matter,"Curriculum Planning,Learning Designs & Facilitation"
Carey Institute for Global Good,Refugee Educators,Cultural Proficiency & Culturally Sustaining Pedagogy in Refugee Education, Educator knows their students deeply and works effectively with diverse refugee students and their families through use of culturally sustaining practices. ,https://media.badgr.io/uploads/badges/06e6baa4-9356-4b8a-89c2-e753f3896301.png,https://microcredentials.digitalpromise.org/explore/cultural-proficiency-culturally-sustaining-pedagog,6CB420,Classroom Educator,,"Cultural Proficiency,Pedagogy,Curriculum Planning,Culturally Responsive Teaching"
Center for Collaborative Education,Performance Assessment for Equity,Developing a Mindset for Culturally Responsive Assessment," Educator fosters a mindset that allows them to nurture a thriving, vibrant, culturally responsive environment; a mindset that reflects sensitivity, responsiveness, and intentionality in building relationships and communicating with a wide range of culturally and racially diverse students, families, and colleagues. ",https://media.badgr.io/uploads/badges/f86fb311-02f7-4efd-8f39-7013fe709b3d.png,https://microcredentials.digitalpromise.org/explore/developing-a-mindset-for-culturally-responsive-ass,ST7B81,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,Culturally Responsive Teaching"
Center for Collaborative Education,Leading a Performance Assessment Community,Engaging Stakeholders to Support PAs,Educator uses structured conversation as a means to create school stakeholder buy-in for the shift to performance assessments for learning.,https://media.badgr.io/uploads/badges/8de34583-fbb5-4101-aa39-e601de1e57ac.png,https://microcredentials.digitalpromise.org/explore/engaging-stakeholders-to-support-pas,ZMTSGP,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment"
Center for Collaborative Education,Performance Assessment for Equity,Creating Performance Assessments with English Learners in Mind, Educator creates performance assessments that remove barriers that have commonly hindered the achievement of English Learners.  ,https://media.badgr.io/uploads/badges/f20db982-eed9-4472-affc-b93c75f0e9fc.png,https://microcredentials.digitalpromise.org/explore/creating-performance-assessments-with-english-lear,UNL3W6,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,English Language Learners"
Center for Collaborative Education,Leading a Performance Assessment Community,Building a Performance Assessment Learning Community,Educator brings together colleagues to form a powerful Performance Assessment Professional Learning Community.,https://media.badgr.io/uploads/badges/7135271d-e91d-40fa-a263-6a9ab9c3e0f6.png,https://microcredentials.digitalpromise.org/explore/building-a-performance-assessment-learning-communi,0TB395,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,PLNs"
Center for Collaborative Education,Performance Assessment for Equity,Culturally Responsive Performance Assessment, Educator can design culturally responsive performance assessments. ,https://media.badgr.io/uploads/badges/50778c2e-d894-4b00-b632-b2791b5482b2.png,https://microcredentials.digitalpromise.org/explore/culturally-responsive-performance-assessment,FH58UQ,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,Culturally Responsive Teaching"
Center for Collaborative Education,Basic Performance Assessment Design,Performance Assessment Validation,Educator analyzes a performance assessment and rubric for qualities of validity.,https://media.badgr.io/uploads/badges/3af47771-610b-4e43-a254-cf49a15695fd.png,https://microcredentials.digitalpromise.org/explore/performance-assessment-validation,VTH0SX,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment"
Center for Collaborative Education,Basic Performance Assessment Design,Competency-based Rubric Design,Educator designs rubrics with clear criteria aligned to appropriate standards.,https://media.badgr.io/uploads/badges/a4a5c642-a95a-4bfa-ba77-274ed078411d.png,https://microcredentials.digitalpromise.org/explore/competency-based-rubric-design,RBH0GC,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,Curriculum Planning"
Center for Collaborative Education,Basic Performance Assessment Design,Performance Assessment Design," Educator creates authentic, valid, and reliable performance assessments (PAs), free of bias. ",https://media.badgr.io/uploads/badges/b0eb0aa1-5d4c-4b08-a88b-c9e01e74d3d1.png,https://microcredentials.digitalpromise.org/explore/performance-assessment-design,JEXC7R,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,Curriculum Planning"
Center for Collaborative Education,Leading a Performance Assessment Community,Developing a Plan to Implement PAs,Educator develops a long-range implementation plan for performance assessment for learning.,https://media.badgr.io/uploads/badges/4d6b34ab-7358-4507-9dba-af1064d9a312.png,https://microcredentials.digitalpromise.org/explore/developing-a-plan-to-implement-pas,D4F0J5,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment,Curriculum Planning"
Center for Collaborative Education,Advanced Performance Assessment Design,"Embedding Habits, Skills, and Disposition in PAs","Educator develops performance assessments that embed and assess one or more Habits, Skills, and/or Dispositions.",https://media.badgr.io/uploads/badges/4d841bdc-4685-44fd-9e6c-50aa88f8fd42.png,https://microcredentials.digitalpromise.org/explore/embedding-habits-skills-and-disposition-in-pas,CG3MQE,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment"
Center for Collaborative Education,Advanced Performance Assessment Design,Using PAs Formatively to Provide Feedback,Educator uses performance assessment formatively to provide feedback and improve student learning.,https://media.badgr.io/uploads/badges/6d2f3dfb-07f1-48ba-8707-b96388df512b.png,https://microcredentials.digitalpromise.org/explore/using-pas-formatively-to-provide-feedback,QR5UJ8,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment"
Center for Collaborative Education,Advanced Performance Assessment Design,Performance Assessment Reliability,Educator ensures technical quality through reliability by analyzing student work and scoring calibration.,https://media.badgr.io/uploads/badges/b658e50f-cedc-40d4-b2a0-4a075c76ee37.png,https://microcredentials.digitalpromise.org/explore/performance-assessment-reliability,V4PUKF,Classroom Educator,ISTE Subject Matter,"Performance Assessment,Assessment"
Center for Teaching Quality,Leading Professional Learning,Facilitating Professional Learning for Common Core Math,The facilitator demonstrates the skills to support teacher learning and/or use of the instructional shifts of CCSS Math Standards or Standards of Math Practice (SMPs).,https://media.badgr.io/uploads/badges/d8e69606-c48c-400a-8040-4b6397e29508.png,https://microcredentials.digitalpromise.org/explore/facilitating-professional-learning-for-common-co-2,L9HX5M,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Collective Leadership,Engaging Stakeholders,Educator engages with different stakeholders in order to advance his/her leadership plan.,https://media.badgr.io/uploads/badges/9dd84cc2-b4fb-4663-ad3e-7aa0190c4bdf.png,https://microcredentials.digitalpromise.org/explore/engaging-stakeholders,JDU4KQ,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership"
Center for Teaching Quality,Leading Professional Learning,Facilitating Professional Learning for Next Generation Science Standards,The facilitator demonstrates the skills to support teacher learning using the three dimensions including the strategic and appropriate use of the instructional practices and crosscutting concepts of the Next Generation Science Standards.,https://media.badgr.io/uploads/badges/01fd32c4-0e5d-4022-a436-450fb2eb0ff3.png,https://microcredentials.digitalpromise.org/explore/facilitating-professional-learning-for-next-genera,G91CBM,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Virtual Community Organizing,Activating Leadership Virtual Community, Activating leaders from a virtual community to impact others ,https://media.badgr.io/uploads/badges/7aa7147a-9e44-4bcf-a910-5c115795d59d.png,https://microcredentials.digitalpromise.org/explore/activating-leadership-virtual-community,QPUJ5R,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership,Online Learning"
Center for Teaching Quality,Collective Leadership,Assessing How Time is Currently Used,Educator assesses and analyzes how student and/or teacher learning time is currently used in his/her classroom or school.,https://media.badgr.io/uploads/badges/057dd118-b709-4e4d-9301-0387aa36eda8.png,https://microcredentials.digitalpromise.org/explore/assessing-how-time-is-currently-used,VJGUP4,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership"
Center for Teaching Quality,Going Public With Policy & Pedagogy,Writing to Influence Beyond the Educational Community, Educators use effective writing strategies to influence the general public. ,https://media.badgr.io/uploads/badges/5c1f7cfe-3fe7-461d-98bd-d5041cbe4447.png,https://microcredentials.digitalpromise.org/explore/writing-to-influence-beyond-the-educational-commun,QRHVS8,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Digital Promise Research Map Topic List,Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership,Literacy"
Center for Teaching Quality,Collective Leadership,Building Your Team,The educator builds an effective team based on the strengths of participants.,https://media.badgr.io/uploads/badges/d2939729-bb51-4c3e-a572-eaa9248e472a.png,https://microcredentials.digitalpromise.org/explore/building-your-team,V1L3PD,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Collective Leadership,Understanding Your Leadership Strengths,Educator assesses and reflects on the leadership strengths he or she brings to a teacher-powered team or project.,https://media.badgr.io/uploads/badges/a27ae6b4-c27c-4525-8d01-e5e402cb5dd7.png,https://microcredentials.digitalpromise.org/explore/understanding-your-leadership-strengths,HCE3VM,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership"
Center for Teaching Quality,Collective Leadership,Ensuring Alignment to the Shared Purpose," Educators will work with a team to create a process to ensure that the shared purpose (mission, vision, values, and goals) of the teams teacher-powered project is clearly communicated and collectively upheld. ",https://media.badgr.io/uploads/badges/2bf7637b-af4a-452b-b5f7-1fe3cbca530f.png,https://microcredentials.digitalpromise.org/explore/ensuring-alignment-to-the-shared-purpose,918D7S,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Coaching & Teacher Support"
Center for Teaching Quality,Leading Professional Learning,Coaching,"Educator provides coaching support for colleagues on the instructional shifts required by Common Core Math (CCSS Math), Common Core English Language Arts (CCSS ELA), or NextGen Science Standards (NGSS).",https://media.badgr.io/uploads/badges/a9322b94-755f-4afc-9453-c23473d60523.png,https://microcredentials.digitalpromise.org/explore/coaching,RQC6UK,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Virtual Community Organizing,Identifying Leaders in Virtual Communities,"Identifying leaders through Socratic questioning, text mining, and reflection.",https://media.badgr.io/uploads/badges/b36ae4f1-491d-4a0b-bb44-2aa9946f3781.png,https://microcredentials.digitalpromise.org/explore/identifying-leaders-in-virtual-communities,Y9V2UK,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership,Online Learning"
Center for Teaching Quality,Going Public With Policy & Pedagogy,Writing Publicly to Influence Policy-Makers," Educators use effective writing strategies to influence policymakers on the local, state, or national level ",https://media.badgr.io/uploads/badges/c0e27e5f-3d6e-4a89-a46d-3e7e3e34d39f.png,https://microcredentials.digitalpromise.org/explore/writing-publicly-to-influence-policy-makers,0XJ596,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Digital Promise Research Map Topic List,Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership,Literacy"
Center for Teaching Quality,Going Public With Policy & Pedagogy,Writing Publicly to Influence Colleagues, Educators use effective writing strategies to influence colleagues ,https://media.badgr.io/uploads/badges/57f9cd3f-f35b-44bb-a2ff-1251f4f5de7c.png,https://microcredentials.digitalpromise.org/explore/writing-publicly-to-influence-colleagues,8DF3TY,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Digital Promise Research Map Topic List,Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership,Literacy"
Center for Teaching Quality,Leading Professional Learning,Facilitating Professional Learning for Common Core English/Language Arts,Facilitator demonstrates the skills to support teacher learning and/or use of the three instructional shifts of the Common Core State Standards (CCSS) in English Language Arts,https://media.badgr.io/uploads/badges/dc46d325-278e-469c-bf25-48d01e404375.png,https://microcredentials.digitalpromise.org/explore/facilitating-professional-learning-for-common-core,D25NW1,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Collective Leadership,Managing Change,"Educator develops a plan that may support other staff members, students, parents, and community members to ensure an effective transition to a new approach to something in his or her school. ",https://media.badgr.io/uploads/badges/ff372e70-22c1-4012-8935-acd144713407.png,https://microcredentials.digitalpromise.org/explore/managing-change,YXC14D,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Coaching & Teacher Support"
Center for Teaching Quality,Collective Leadership,Cultivating a Shared Purpose,The educator will cultivate a shared purpose with a team for a teacher-powered project.,https://media.badgr.io/uploads/badges/e0034827-ca07-484d-b154-c1e1f080c211.png,https://microcredentials.digitalpromise.org/explore/cultivating-a-shared-purpose,LYJ098,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership"
Center for Teaching Quality,Virtual Community Organizing,Establishing a Virtual Community,The educator designs a community experience capable of creating meaningful common work through mutual engagement and shared voice.,https://media.badgr.io/uploads/badges/e5d021c4-d721-4f37-a229-85c23069b48f.png,https://microcredentials.digitalpromise.org/explore/establishing-a-virtual-community,7Y4CV1,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership,Online Learning"
Center for Teaching Quality,Collective Leadership,Creating a Plan for Redesigned Learning,Educator develops a plan for redesigning learning time to better meet the personalized learning needs of students and/or teachers.,https://media.badgr.io/uploads/badges/67d4a0b5-b7ed-4e49-9a30-ba50d788f1c9.png,https://microcredentials.digitalpromise.org/explore/creating-a-plan-for-redesigned-learning,P0E51N,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Coaching & Teacher Support"
Center for Teaching Quality,Going Public With Policy & Pedagogy,Writing Publicly to Influence Parents, Educators use effective writing strategies to influence parents. ,https://media.badgr.io/uploads/badges/e0b96d0e-98a7-4fed-90cb-228951369914.png,https://microcredentials.digitalpromise.org/explore/writing-publicly-to-influence-parents,86GREN,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Digital Promise Research Map Topic List,Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership,Literacy"
Center for Teaching Quality,Leading Professional Learning,Collaboration for Continuous Improvement,Educator organizes and executes professional learning focused on problems of practice around student work.,https://media.badgr.io/uploads/badges/716a0baf-84e4-40a6-9aa5-3016211f16fb.png,https://microcredentials.digitalpromise.org/explore/collaboration-for-continuous-improvement,R4ULBW,"Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership"
Center for Teaching Quality,Virtual Community Organizing,Engaging Virtual Communities Through Facilitation,Educators facilitate a virtual community in an online discussion.,https://media.badgr.io/uploads/badges/ee75da91-4394-4ff8-9f9b-c921d8ff2353.png,https://microcredentials.digitalpromise.org/explore/engaging-virtual-communities-through-facilitation,2DWME0,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Coaching & Teacher Support,Education Leadership,Online Learning"
Center for Transformative Teaching and Learning,"Mind, Brain, Education Science",Neuroplasticity: Educators as Brain-changers,"Educators deep dive into neuroplasticity to explore how it informs one’s Mind, Brain, and Education Science mindset, skills, and knowledge. ",https://media.badgr.io/uploads/badges/37441937-9db5-4d41-a45b-bec227330c4c.png,https://microcredentials.digitalpromise.org/explore/neuroplasticity-educators-as-brain-changers,T8F0N6,Classroom Educator,"ISTE Subject Matter,Digital Promise Research Map Topic List","Introduction to the Learning Sciences,Learning Spaces"
Center for Transformative Teaching and Learning,"Mind, Brain, Education Science",Neuromyth Busting,"Educator develops an understanding of MBE science research-informed strategies to bust neuromyths that are outdated, inaccurate, and ultimately harmful to learners. ",https://media.badgr.io/uploads/badges/c5a423c8-78d0-4348-ba50-ba307764353c.png,https://microcredentials.digitalpromise.org/explore/neuromyth-busting,5LAZT7,Classroom Educator,"ISTE Subject Matter,Digital Promise Research Map Topic List","Introduction to the Learning Sciences,Learning Spaces"
Center for Transformative Teaching and Learning,"Mind, Brain, Education Science",Neuro-truths in the Classroom,Educator applies practices rooted in neuro-truths so that they can optimize the learning experiences of their students. ,https://media.badgr.io/uploads/badges/6f6a2d88-79cf-4158-a846-ffa3b40fc9a2.png,https://microcredentials.digitalpromise.org/explore/neuro-truths-in-the-classroom,K3RSNC,Classroom Educator,"ISTE Subject Matter,Digital Promise Research Map Topic List","Introduction to the Learning Sciences,Learning Spaces"
Clark County Education Association,Engaging Stakeholders in Effective Communication,Create a Plan to Engage Stakeholders, Learner creates a plan taking into account the needs and perspectives of a targeted stakeholder group. ,https://media.badgr.io/uploads/badges/890a749c-d99d-4051-a9a3-6e8af447e60c.png,https://microcredentials.digitalpromise.org/explore/create-a-plan-to-engage-stakeholders,F3X174,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead",ISTE Subject Matter,"Parent & Community Engagement,Technology Planning & Infrastructure"
Clark County Education Association,Leading with Purpose,Facilitate Effective Teams," Learner facilitates a team focused on a shared goal, using the strengths of each participant to improve the team's effectiveness in accomplishing the stated goal(s). ",https://media.badgr.io/uploads/badges/52950c56-e23b-44ec-a2c7-ec9a9f873e24.png,https://microcredentials.digitalpromise.org/explore/facilitate-effective-teams,5UE2ZC,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Education Leadership"
Clark County Education Association,Engaging Stakeholders in Effective Communication,Understand and Assess Stakeholders' Needs and Perspectives, Learner assesses the needs and perspectives of a given group of stakeholders. ,https://media.badgr.io/uploads/badges/a2af0e00-6009-43cd-913a-d593ea15c12e.png,https://microcredentials.digitalpromise.org/explore/understand-and-assess-stakeholders-needs-and-persp,1EPYBX,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead",ISTE Subject Matter,"Parent & Community Engagement,Assessment"
Clark County Education Association,Using Data to Inform School-Based Decisions,Using Data to Inform Decisions, Learner provides an analysis of a particular data set used to create and implement a well-defined action plan to accomplish a goal. ,https://media.badgr.io/uploads/badges/da5bde2f-f5ab-4be5-b553-5f149d54c900.png,https://microcredentials.digitalpromise.org/explore/using-data-to-inform-decisions,UKCJMB,Administrator,ISTE Subject Matter,"Student Data,Rubric"
Clark County Education Association,Using Data to Inform School-Based Decisions,Goal Setting to Impact Student Success, Learner will provide a research-based action plan with steps for addressing an identified challenge. ,https://media.badgr.io/uploads/badges/e82b9278-b0cb-41ad-a097-359fcb9daed8.png,https://microcredentials.digitalpromise.org/explore/goal-setting-to-impact-student-success-2,Y9BHZF,Administrator,ISTE Subject Matter,"Student Data,Parent & Community Engagement"
Clark County Education Association,Leading with Purpose,Leadership Strengths," Learner assesses, applies, and reflects on leadership strengths leveraged in a school/community team or project. ",https://media.badgr.io/uploads/badges/81a518d5-267d-4ffe-9b43-445d6ddc74cd.png,https://microcredentials.digitalpromise.org/explore/leadership-strengths,QKZX7V,"Classroom Educator,Administrator,Coach & Curriculum Designer & Teacher Lead","Learning Forward Subject Matter,ISTE Subject Matter","Leadership,Parent & Community Engagement"
